,Mdisk,alpha,r_c,v_frag,Reff,Fmm
0,0.025,0.005,140,3000,71.2388695296936,0.434307312477746
0,0.025,0.005,140,6000,71.5046013713633,0.436572014477429
0,0.025,0.005,140,10000,71.7080832634659,0.43882307567291
0,0.025,0.005,200,1000,81.6656321463202,0.401061368114178
0,0.025,0.005,200,3000,82.1917284771948,0.404914702218693
0,0.025,0.005,200,6000,82.4739163192147,0.40721150287631
0,0.025,0.005,200,10000,82.6927331561092,0.409443893429578
0,0.05,0.005,20,1000,33.7786725173475,0.66443506112439
0,0.05,0.005,20,3000,33.9809085403476,0.66629678029585
0,0.05,0.005,20,6000,34.0882380146642,0.667082932748386
0,0.05,0.005,20,10000,34.150766033417,0.66852208112804
0,0.05,0.005,80,1000,62.1071298049134,0.81772288771757
0,0.05,0.005,80,3000,62.4616109654254,0.823844100786744
0,0.05,0.005,80,6000,62.7048803026924,0.828481583746759
0,0.05,0.005,80,10000,62.8072929826691,0.831326254485943
0,0.05,0.005,140,1000,78.5463146191396,0.766219347647878
0,0.05,0.005,140,3000,78.9944149353121,0.774024707393078
0,0.05,0.005,140,6000,79.2618068724759,0.778135407714848
0,0.05,0.005,140,10000,79.4470458665309,0.780879910918898
0,0.05,0.005,200,1000,89.1028409041129,0.729953996070647
0,0.05,0.005,200,3000,89.6497041799363,0.737379418689016
0,0.05,0.005,200,6000,89.9325984289965,0.741528202969005
0,0.05,0.005,200,10000,90.058339614088,0.744660849217012
0,0.1,0.005,20,1000,39.5905471522421,0.893487753568315
0,0.1,0.005,20,3000,39.7560285744567,0.897590505546283
0,0.1,0.005,20,6000,39.8424061583057,0.899640034533804
0,0.1,0.005,20,10000,39.9175771110979,0.902031938494823
0,0.1,0.005,80,1000,72.4738569541394,1.3102783107886
0,0.1,0.005,80,3000,72.8501553474004,1.32126155279254
0,0.1,0.005,80,6000,73.0587246490995,1.32904506453918
0,0.1,0.005,80,10000,73.1961171235492,1.3331522473331
0,0.1,0.005,140,1000,89.5044259371214,1.3000556169896
0,0.1,0.005,140,3000,89.9243305910912,1.31151138383472
0,0.1,0.005,140,6000,90.1706881924157,1.32050945627952
0,0.1,0.005,140,10000,90.3186344426152,1.32432896576338
0,0.1,0.005,200,1000,99.8944909678839,1.27051091546535
0,0.1,0.005,200,3000,100.333993402791,1.28229750895697
0,0.1,0.005,200,6000,100.634820663678,1.29108039965818
0,0.1,0.005,200,10000,100.817481849707,1.29587631817237
0,0.005,0.001,20,1000,21.3431154998302,0.173850414476366
0,0.005,0.001,20,3000,21.3316841644238,0.174450449434958
0,0.005,0.001,20,6000,21.3383018116734,0.174948333755335
0,0.005,0.001,20,10000,21.3356466489562,0.174828863615634
0,0.005,0.001,80,1000,45.1223904050854,0.119005445406003
0,0.005,0.001,80,3000,45.5497747136992,0.119892155257005
0,0.005,0.001,80,6000,45.6206940422636,0.120185780294363
0,0.005,0.001,80,10000,45.6946341179869,0.12018044228351
0,0.005,0.001,140,1000,62.4671600676545,0.097675805334386
0,0.005,0.001,140,3000,62.974748268102,0.098601140618071
0,0.005,0.001,140,6000,63.0718968315424,0.098947235314177
0,0.005,0.001,140,10000,63.1615879562949,0.099027311148714
0,0.005,0.001,200,1000,74.0531675991141,0.088482173065972
0,0.005,0.001,200,3000,74.5758888673803,0.089331057624499
0,0.005,0.001,200,6000,74.7757358229005,0.089701254283373
0,0.005,0.001,200,10000,74.7753477103146,0.089711233936714
0,0.025,0.001,20,1000,28.7924198463909,0.47337508766092
0,0.025,0.001,20,3000,28.9694755907458,0.475379339247971
0,0.025,0.001,20,6000,29.0135106803408,0.475919432308602
0,0.025,0.001,20,10000,29.0157029852752,0.476027283665711
0,0.025,0.001,80,1000,54.3694117722092,0.486357371162744
0,0.025,0.001,80,3000,54.7389821435037,0.490316904868984
0,0.025,0.001,80,6000,54.9023624620031,0.491936945152697
0,0.025,0.001,80,10000,54.9021479556185,0.491921935953699
0,0.025,0.001,140,1000,70.8685270309997,0.432686579837879
0,0.025,0.001,140,3000,71.3228409204729,0.436770818962565
0,0.025,0.001,140,6000,71.5067761301816,0.437706014665477
0,0.025,0.001,140,10000,71.5138028748339,0.438291805168334
0,0.025,0.001,200,1000,81.8561812767805,0.402964031660357
0,0.025,0.001,200,3000,82.3400351690425,0.407049132666404
0,0.025,0.001,200,6000,82.5507572696895,0.408541175132892
0,0.025,0.001,200,10000,82.5555629725285,0.409072765298246
0,0.05,0.001,20,1000,33.8267475686406,0.663296216220527
0,0.05,0.001,20,3000,33.9985363646023,0.6655711796364
0,0.05,0.001,20,6000,34.0672584347696,0.666107930963936
0,0.05,0.001,20,10000,34.0763199704808,0.666487924673858
0,0.05,0.001,80,1000,62.2024163115187,0.821017580281255
0,0.05,0.001,80,3000,62.5762730726783,0.827383211337881
0,0.05,0.001,80,6000,62.6702010374038,0.829760779831506
0,0.05,0.001,80,10000,62.661253148303,0.82968563779617
0,0.05,0.001,140,1000,78.6601721010945,0.77039310893927
0,0.05,0.001,140,3000,79.109568786341,0.777512394219126
0,0.05,0.001,140,6000,79.2309254931206,0.78068490695497
0,0.05,0.001,140,10000,79.215924501112,0.779793027686016
0,0.05,0.001,200,1000,89.206971220428,0.73437816693602
0,0.05,0.001,200,3000,89.6754839030325,0.741769378164231
0,0.05,0.001,200,6000,89.8727673996201,0.744530178786053
0,0.05,0.001,200,10000,89.8824860989073,0.745064182256689
0,0.1,0.001,20,1000,39.5537100451445,0.892568541879957
0,0.1,0.001,20,3000,39.7066996779959,0.896434119261409
0,0.1,0.001,20,6000,39.7569292939704,0.898216227969162
0,0.1,0.001,20,10000,39.7573842030015,0.898235853162372
0,0.1,0.001,80,1000,72.5288470616645,1.3146409361833
0,0.1,0.001,80,3000,72.8865070623358,1.32687231016469
0,0.1,0.001,80,6000,72.9438920670466,1.32842058502961
0,0.1,0.001,80,10000,73.0160988629246,1.3306610634604
0,0.1,0.001,140,1000,89.5329413385742,1.30656385976116
0,0.1,0.001,140,3000,89.9243644418451,1.31917985724197
0,0.1,0.001,140,6000,90.0457009767944,1.32123514303092
0,0.1,0.001,140,10000,90.0595190866258,1.32207491748424
0,0.1,0.001,200,1000,99.9056524029587,1.27780369106529
0,0.1,0.001,200,3000,100.362713777766,1.29018341150699
0,0.1,0.001,200,6000,100.463576166468,1.29381247455022
0,0.1,0.001,200,10000,100.467742892648,1.29408522361969
0,0.005,0.0001,20,1000,21.3685988660919,0.175071202897022
0,0.005,0.0001,20,3000,21.3529401789703,0.175262186134234
0,0.005,0.0001,20,6000,21.3609945361914,0.175531533895725
0,0.005,0.0001,20,10000,21.3605752376217,0.17551310456496
0,0.005,0.0001,80,1000,45.4165238550639,0.119994728597881
0,0.005,0.0001,80,3000,45.6377713726033,0.120489967349012
0,0.005,0.0001,80,6000,45.7070530327383,0.120472161854652
0,0.005,0.0001,80,10000,45.7058769775469,0.120531531250725
0,0.005,0.0001,140,1000,62.758287802855,0.098586082585171
0,0.005,0.0001,140,3000,63.0286455046775,0.099101255557879
0,0.005,0.0001,140,6000,63.032396640425,0.099336358293647
